caseid,MDregvote,likelyvoter,Question25_treat,Question29_30_order,Question1,Question2,Question3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,Question14,Question14_other,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22_1,Question22_2,Question22_3,Question22_4,Question22_5,Question22_6,Question22_7,Question22_8,Question22_9,Question22_99,Question23,Question24,Question25a,Question25b,Question26_1,Question26_2,Question26_3,Question26_4,Question26_5,Question26_6,Question26_7,Question26_8,Question26_9,Question26_10,Question26_19,Question26_99,Question27,Question28,Question29,Question30,birthyr,gender,race,hispanic,educ,marstat,employ,ownhome,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputzip,inputstate,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1893762608.0,1,1,2,2,1,1,1,1,4,2,4,2,2,1,8,3,2,4,__NA__,1,1,2,2,3,18.0,30.0,1,1,2,2,1,1,2,2,2,2,2,80.0,9,4,1,1,1,1,1,1,1,1,1,1,2,2,4,2,1,4,2002.0,2,4,2,5,5,4,1,10,2,1,1,7,1,20742.0,24,1,2,1,9,5,2,4,7,2024-10-22T16:30:05.992,2024-10-22T16:34:50.627
1893772958.0,1,1,1,1,1,1,1,1,4,1,2,1,2,8,2,9,9,4,__NA__,1,1,2,2,4,5.0,15.0,2,2,1,1,1,2,1,2,2,2,2,50.0,4,9,2,2,2,2,1,1,2,2,1,1,2,2,4,3,1,1,1956.0,1,2,2,3,3,1,2,13,1,3,3,1,1,21216.0,24,1,3,1,11,6,2,4,7,2024-10-22T16:33:47.276,2024-10-22T16:39:42.373
1893784570.0,1,1,2,2,1,1,1,1,4,1,4,1,9,4,2,1,1,11,__NA__,1,1,2,2,2,0.0,0.0,2,2,2,2,2,2,2,2,1,2,2,99.0,9,4,1,1,1,1,1,2,1,2,1,1,2,2,5,2,1,5,1996.0,2,1,2,3,6,8,2,3,2,1,1,1,6,21502.0,24,1,1,2,10,6,2,4,7,2024-10-22T16:36:59.509,2024-10-22T16:40:25.275
1893286588.0,1,1,1,2,1,1,1,1,4,1,2,1,9,2,2,2,2,9,__NA__,1,1,1,2,4,don't know,don't know,2,2,2,2,2,2,2,2,1,2,2,100.0,4,9,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,4,1948.0,2,2,2,5,1,5,1,13,2,3,3,7,1,20744.0,24,1,3,1,1,2,2,2,3,2024-10-22T16:39:39.680,2024-10-22T16:53:26.253
1893798296.0,1,1,2,1,1,2,1,1,4,4,1,1,9,3,1,8,2,99,Protecting democracy,1,1,2,1,4,2.0,2.0,2,2,1,2,2,2,2,2,2,2,2,99.0,9,5,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,9,1967.0,2,1,2,5,1,1,1,12,1,3,4,7,1,21013.0,24,1,3,1,1,2,1,1,1,2024-10-22T16:50:17.628,2024-10-22T17:00:03.670
1893798342.0,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,3,2,6,__NA__,1,1,2,2,4,1.0,10.0,1,1,2,2,2,2,2,2,2,2,2,75.0,4,9,1,1,1,1,1,1,1,1,1,1,2,2,5,3,1,4,1952.0,2,1,2,6,1,5,1,12,2,1,1,1,1,20901.0,24,1,3,1,2,5,2,2,3,2024-10-22T16:50:28.837,2024-10-22T17:07:02.837
1893564714.0,1,1,1,1,2,2,2,4,2,4,2,3,4,3,2,4,4,4,__NA__,2,3,3,3,4,don't know,10.0,1,2,1,1,2,1,1,2,2,2,2,50.0,4,9,1,2,2,1,1,1,2,1,1,1,2,2,3,1,5,1,1947.0,1,1,2,6,1,5,1,97,2,2,7,2,2,21030.0,24,1,3,1,2,2,2,1,1,2024-10-22T16:58:40.263,2024-10-22T17:08:58.309
1891220698.0,1,1,2,2,3,2,2,4,3,4,2,4,4,4,2,4,3,4,__NA__,2,2,3,3,2,5.0,20.0,1,2,1,2,2,2,2,2,2,2,2,65.0,9,5,2,2,2,1,1,1,2,1,1,1,2,2,3,1,1,2,1982.0,1,1,2,3,6,1,1,97,2,3,5,3,3,21234.0,24,1,4,1,12,5,2,3,1,2024-10-22T17:07:06.821,2024-10-22T17:15:17.141
1893816694.0,1,1,1,1,1,1,3,1,4,1,8,1,9,8,2,8,1,1,__NA__,1,9,4,3,1,11.0,8.0,2,2,2,2,2,2,2,2,1,2,2,98.0,3,9,2,2,2,2,1,2,2,2,2,2,2,2,5,9,9,9,1959.0,2,2,2,4,2,5,2,2,2,1,1,7,6,20850.0,24,1,5,2,1,2,2,1,2,2024-10-22T17:15:00.769,2024-10-22T17:20:39.345
1893815792.0,1,1,2,2,1,1,1,1,4,1,3,1,1,1,2,2,2,99,Democracy,1,1,1,1,4,10.0,10.0,2,2,2,2,2,2,2,2,1,2,2,81.0,9,4,1,2,2,1,1,1,1,1,1,1,2,2,9,2,1,4,1959.0,2,1,2,5,1,1,1,12,2,3,3,1,1,20850.0,24,1,3,1,10,6,2,4,6,2024-10-22T17:10:14.673,2024-10-22T17:21:50.611
1893806490.0,1,1,1,1,2,2,2,1,2,4,1,4,3,2,1,8,8,4,__NA__,4,3,2,2,4,10.0,4.0,2,2,2,2,2,2,2,2,1,2,2,50.0,4,9,2,2,2,1,1,1,1,2,1,1,2,2,3,1,2,1,1931.0,2,1,2,3,4,5,3,97,1,2,7,2,2,21158.0,24,1,4,1,1,3,1,1,1,2024-10-22T17:51:18.417,2024-10-22T18:02:19.565
1893524796.0,1,1,2,2,3,2,1,3,2,3,2,2,3,2,2,8,2,3,__NA__,1,1,3,2,3,4.0,1.0,2,2,2,2,2,2,2,2,1,2,2,25.0,9,4,1,2,2,1,1,1,2,2,1,1,2,2,3,9,2,4,1962.0,1,1,2,2,5,1,2,5,2,1,2,2,1,21903.0,24,1,2,3,10,6,2,4,7,2024-10-22T17:55:35.585,2024-10-22T18:06:07.196
1893222810.0,1,1,1,1,1,1,1,1,4,1,3,1,3,1,2,3,2,5,__NA__,1,1,2,2,4,10.0,10.0,2,2,1,2,2,2,2,2,2,2,2,80.0,4,9,1,1,2,1,1,1,1,1,1,1,2,2,4,3,1,3,1956.0,2,1,2,6,1,2,1,11,2,3,3,1,1,21093.0,24,1,3,1,1,3,2,2,1,2024-10-22T18:30:44.232,2024-10-22T18:39:39.934
1893927992.0,1,1,2,2,1,1,1,1,4,1,2,2,9,2,2,8,2,7,__NA__,1,1,3,1,3,0.0,1.0,2,2,2,2,2,2,2,2,1,2,2,90.0,9,4,1,2,2,1,1,1,2,1,1,1,2,2,5,1,2,4,1995.0,1,1,1,6,1,8,2,5,2,1,1,7,1,20815.0,24,1,3,1,2,5,2,4,6,2024-10-22T18:57:23.845,2024-10-22T19:02:49.770
1893914130.0,1,1,1,1,1,1,1,1,4,2,4,2,8,1,2,9,3,7,__NA__,1,1,1,1,4,2.0,2.0,2,2,1,2,2,2,2,2,2,2,2,97.0,4,9,1,1,1,1,1,1,1,1,1,1,2,2,5,4,1,5,1970.0,1,1,2,6,1,1,1,13,2,1,2,1,1,20782.0,24,1,3,1,12,5,2,4,6,2024-10-22T18:51:50.668,2024-10-22T19:04:03.266
1893488610.0,1,1,1,1,2,2,4,8,1,4,1,3,8,2,1,2,8,4,__NA__,2,3,3,3,1,72.0,76.0,2,1,1,2,2,1,2,2,2,2,2,52.0,3,9,2,2,2,1,2,1,2,2,1,2,2,2,3,1,3,1,1950.0,1,1,2,5,4,5,1,7,2,2,7,2,2,20716.0,24,1,5,1,2,4,2,2,1,2024-10-22T16:34:41.735,2024-10-22T19:09:11.540
1893946722.0,1,1,1,1,2,2,3,4,2,4,1,2,2,2,2,9,8,4,__NA__,1,9,9,2,3,don't know,don't know,2,2,2,2,2,2,2,2,2,1,2,40.0,4,9,2,2,2,2,2,2,2,2,2,2,2,1,3,1,3,1,1957.0,1,1,2,6,1,1,1,97,2,3,4,2,2,20866.0,24,1,3,1,2,5,2,3,6,2024-10-22T19:00:40.486,2024-10-22T19:11:03.176
1893955346.0,1,1,1,1,5,1,1,3,4,3,4,2,2,1,4,4,1,7,__NA__,4,1,3,2,2,1.0,1.0,2,2,2,2,2,2,2,2,1,2,2,60.0,4,9,1,1,1,1,1,1,1,1,1,1,2,2,5,2,1,5,2001.0,2,1,2,5,5,1,2,7,2,3,3,7,1,20910.0,24,1,1,1,9,6,2,4,7,2024-10-22T19:12:03.196,2024-10-22T19:17:04.913
1893953812.0,1,1,2,2,1,1,1,1,4,3,2,1,9,2,3,9,2,7,__NA__,1,1,2,1,3,0.0,0.0,2,2,2,1,2,2,2,2,2,2,2,100.0,9,4,1,1,1,1,1,1,1,1,1,1,2,2,4,3,2,2,1965.0,2,1,2,6,1,5,1,11,2,3,3,6,1,20657.0,24,1,3,2,11,6,2,4,3,2024-10-22T19:03:03.152,2024-10-22T19:20:42.337
1893978874.0,1,1,2,2,2,2,1,4,1,4,2,3,3,3,2,2,4,2,__NA__,3,3,4,3,2,29.0,don't know,1,2,1,1,1,1,1,1,2,2,2,don't know,9,4,1,2,2,1,1,2,2,1,1,1,2,2,3,1,5,1,1941.0,2,1,2,3,3,5,1,4,2,3,5,2,2,21146.0,24,1,4,2,1,4,2,1,1,2024-10-22T19:41:42.928,2024-10-22T19:54:25.321
1893824962.0,1,1,1,1,5,4,3,8,8,8,8,8,8,8,8,8,8,1,__NA__,9,9,9,9,4,don't know,don't know,2,2,2,2,2,2,2,2,1,2,2,don't know,5,9,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,9,1955.0,1,1,2,3,5,5,2,3,2,3,3,1,1,20904.0,24,1,3,7,12,2,1,1,2,2024-10-22T20:13:14.940,2024-10-22T20:21:38.288
1893885892.0,1,2,2,2,1,1,1,2,8,2,1,2,1,2,2,1,4,4,__NA__,1,3,3,2,2,don't know,23.0,2,2,2,2,2,2,2,2,1,2,2,87.0,9,5,2,2,2,2,2,2,1,2,2,2,2,2,9,4,3,3,1996.0,2,2,2,2,5,4,2,1,2,1,1,7,6,20816.0,24,1,4,2,2,2,2,1,2,2024-10-22T18:15:29.765,2024-10-23T02:32:57.225
1897431520.0,1,1,2,2,1,1,1,1,4,1,3,1,2,2,2,3,2,99,Trump,1,1,2,2,4,1.0,5.0,2,2,2,2,2,2,2,2,1,2,2,98.0,9,5,1,1,2,1,1,1,1,1,1,1,2,2,5,3,1,2,1971.0,1,1,2,5,1,1,1,10,2,1,1,1,1,21784.0,24,1,2,1,1,5,2,3,5,2024-10-24T16:09:50.933,2024-10-24T16:18:49.299
1897430364.0,1,1,2,1,1,1,1,1,4,2,4,1,2,2,2,8,1,7,__NA__,1,4,2,1,4,5.0,7.0,2,2,2,2,2,2,2,2,1,2,2,60.0,9,4,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,2,1974.0,1,1,2,3,1,1,1,15,2,3,3,1,1,21784.0,24,1,3,1,11,6,2,4,7,2024-10-24T16:05:57.655,2024-10-24T16:18:41.396
1897280542.0,1,1,1,1,2,2,2,3,2,3,2,3,2,8,1,2,3,2,__NA__,2,3,2,2,3,20.0,20.0,1,2,2,2,1,2,1,2,2,2,2,60.0,4,9,2,2,2,1,1,2,2,1,1,1,2,2,4,3,2,1,1942.0,1,1,2,5,1,5,1,11,2,3,5,2,2,21090.0,24,1,4,1,1,5,2,3,6,2024-10-24T16:07:45.189,2024-10-24T16:22:18.652
1897432116.0,1,1,2,1,1,1,1,1,4,3,2,1,9,2,2,4,2,9,__NA__,1,1,1,1,4,1.0,1.0,2,2,2,2,2,2,2,2,1,2,2,80.0,9,4,1,1,1,1,1,1,1,1,1,1,2,2,5,1,1,2,1977.0,1,1,2,6,3,1,1,15,1,1,1,1,1,20850.0,24,1,2,1,10,6,2,4,7,2024-10-24T16:16:48.026,2024-10-24T16:25:33.757
1897237958.0,1,1,1,2,2,2,2,4,2,4,1,2,3,2,2,2,4,2,__NA__,1,3,3,3,3,10.0,25.0,1,1,1,1,2,2,1,2,2,2,2,50.0,4,9,1,1,1,1,1,1,1,1,1,1,2,2,1,1,5,1,1942.0,1,1,2,5,5,5,2,7,2,3,3,7,2,21234.0,24,1,4,1,12,1,2,1,1,2024-10-24T16:07:58.904,2024-10-24T16:25:46.472
