caseid,weight,MDregvote,likelyvoter,Question25_treat,Question29_30_order,Question1,Question2,Question3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,Question14,Question14_other,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22_1,Question22_2,Question22_3,Question22_4,Question22_5,Question22_6,Question22_7,Question22_8,Question22_9,Question22_99,Question23,Question24,Question25a,Question25b,Question26_1,Question26_2,Question26_3,Question26_4,Question26_5,Question26_6,Question26_7,Question26_8,Question26_9,Question26_10,Question26_19,Question26_99,Question27,Question28,Question29,Question30,urbanicity2,birthyr,gender,race,hispanic,educ,marstat,employ,ownhome,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,inputzip,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1893772958.0,0.644284529924345,1,1,1,1,1,1,1,1,4,1,2,1,2,8,2,9,9,4,__NA__,1,1,2,2,4,5.0,15.0,2,2,1,1,1,2,1,2,2,2,2,50.0,4,9,2,2,2,2,1,1,2,2,1,1,2,2,4,3,1,1,9,1956.0,1,2,2,3,3,1,2,13,1,3,3,1,1,24,21216.0,1,3,1,11,6,2,4,7,2024-10-22T16:33:47.276,2024-10-22T16:39:42.373
1893798296.0,0.784923172664636,1,1,2,1,1,2,1,1,4,4,1,1,9,3,1,8,2,99,Protecting democracy,1,1,2,1,4,2.0,2.0,2,2,1,2,2,2,2,2,2,2,2,99.0,9,5,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,9,9,1967.0,2,1,2,5,1,1,1,12,1,3,4,7,1,24,21013.0,1,3,1,1,2,1,1,1,2024-10-22T16:50:17.628,2024-10-22T17:00:03.670
1893798342.0,0.965220603400522,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,3,2,6,__NA__,1,1,2,2,4,1.0,10.0,1,1,2,2,2,2,2,2,2,2,2,75.0,4,9,1,1,1,1,1,1,1,1,1,1,2,2,5,3,1,4,9,1952.0,2,1,2,6,1,5,1,12,2,1,1,1,1,24,20901.0,1,3,1,2,5,2,2,3,2024-10-22T16:50:28.837,2024-10-22T17:07:02.837
1893564714.0,1.4106274729226,1,1,1,1,2,2,2,4,2,4,2,3,4,3,2,4,4,4,__NA__,2,3,3,3,4,don't know,10.0,1,2,1,1,2,1,1,2,2,2,2,50.0,4,9,1,2,2,1,1,1,2,1,1,1,2,2,3,1,5,1,9,1947.0,1,1,2,6,1,5,1,97,2,2,7,2,2,24,21030.0,1,3,1,2,2,2,1,1,2024-10-22T16:58:40.263,2024-10-22T17:08:58.309
1891220698.0,1.14917909737419,1,1,2,2,3,2,2,4,3,4,2,4,4,4,2,4,3,4,__NA__,2,2,3,3,2,5.0,20.0,1,2,1,2,2,2,2,2,2,2,2,65.0,9,5,2,2,2,1,1,1,2,1,1,1,2,2,3,1,1,2,9,1982.0,1,1,2,3,6,1,1,97,2,3,5,3,3,24,21234.0,1,4,1,12,5,2,3,1,2024-10-22T17:07:06.821,2024-10-22T17:15:17.141
1893816694.0,0.320869508025102,1,1,1,1,1,1,3,1,4,1,8,1,9,8,2,8,1,1,__NA__,1,9,4,3,1,11.0,8.0,2,2,2,2,2,2,2,2,1,2,2,98.0,3,9,2,2,2,2,1,2,2,2,2,2,2,2,5,9,9,9,9,1959.0,2,2,2,4,2,5,2,2,2,1,1,7,6,24,20850.0,1,5,2,1,2,2,1,2,2024-10-22T17:15:00.769,2024-10-22T17:20:39.345
1893806490.0,0.506858540886556,1,1,1,1,2,2,2,1,2,4,1,4,3,2,1,8,8,4,__NA__,4,3,2,2,4,10.0,4.0,2,2,2,2,2,2,2,2,1,2,2,50.0,4,9,2,2,2,1,1,1,1,2,1,1,2,2,3,1,2,1,9,1931.0,2,1,2,3,4,5,3,97,1,2,7,2,2,24,21158.0,1,4,1,1,3,1,1,1,2024-10-22T17:51:18.417,2024-10-22T18:02:19.565
1893524796.0,0.367444892582513,1,1,2,2,3,2,1,3,2,3,2,2,3,2,2,8,2,3,__NA__,1,1,3,2,3,4.0,1.0,2,2,2,2,2,2,2,2,1,2,2,25.0,9,4,1,2,2,1,1,1,2,2,1,1,2,2,3,9,2,4,9,1962.0,1,1,2,2,5,1,2,5,2,1,2,2,1,24,21903.0,1,2,3,10,6,2,4,7,2024-10-22T17:55:35.585,2024-10-22T18:06:07.196
1893222810.0,0.965220603400522,1,1,1,1,1,1,1,1,4,1,3,1,3,1,2,3,2,5,__NA__,1,1,2,2,4,10.0,10.0,2,2,1,2,2,2,2,2,2,2,2,80.0,4,9,1,1,2,1,1,1,1,1,1,1,2,2,4,3,1,3,9,1956.0,2,1,2,6,1,2,1,11,2,3,3,1,1,24,21093.0,1,3,1,1,3,2,2,1,2024-10-22T18:30:44.232,2024-10-22T18:39:39.934
1893927992.0,0.376009975808354,1,1,2,2,1,1,1,1,4,1,2,2,9,2,2,8,2,7,__NA__,1,1,3,1,3,0.0,1.0,2,2,2,2,2,2,2,2,1,2,2,90.0,9,4,1,2,2,1,1,1,2,1,1,1,2,2,5,1,2,4,9,1995.0,1,1,1,6,1,8,2,5,2,1,1,7,1,24,20815.0,1,3,1,2,5,2,4,6,2024-10-22T18:57:23.845,2024-10-22T19:02:49.770
