caseid,weight,MDregvote,likelyvoter,Question25_treat,Question29_30_order,Question1,Question2,Question3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,Question14,Question14_other,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22_1,Question22_2,Question22_3,Question22_4,Question22_5,Question22_6,Question22_7,Question22_8,Question22_9,Question22_99,Question23,Question24,Question25a,Question25b,Question26_1,Question26_2,Question26_3,Question26_4,Question26_5,Question26_6,Question26_7,Question26_8,Question26_9,Question26_10,Question26_19,Question26_99,Question27,Question28,Question29,Question30,urbanicity2,birthyr,gender,race,hispanic,educ,marstat,employ,ownhome,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,inputzip,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1893772958.0,0.644284529924345,Yes,Almost certain,Question25a,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Very favorable,Somewhat favorable,Very favorable,Somewhat favorable,No opinion,Somewhat favorable,Never heard,Never heard,The economy/inflation,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Never,5.0,15.0,not selected,not selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,No,50.0,Three of these statements,not asked,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Strongly favor,Strongly favor,not asked,1956.0,Male,Black,No,Some college,Divorced,Full-time,Rent,"$200,000 - $249,999",Yes,Independent,Lean Democrat,Hillary Clinton,Joe Biden,Maryland,21216.0,Yes,Moderate,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2024-10-22T16:33:47.276,2024-10-22T16:39:42.373
1893798296.0,0.784923172664636,Yes,Almost certain,Question25b,Question29 first,Kamala Harris (Democrat),Larry Hogan (Republican),Yes,Very favorable,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Never heard,Somewhat unfavorable,Very favorable,No opinion,Somewhat favorable,Other,Protecting democracy,Very enthusiastic,Abortion should be legal and generally available,Good,Better off than a year ago,Never,2.0,2.0,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,No,99.0,not asked,Four of these statements,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Strongly favor,Not sure,not asked,1967.0,Female,White,No,4-year,Married,Full-time,Own,"$150,000 - $199,999",Yes,Independent,Independent,Did not vote for President,Joe Biden,Maryland,21013.0,Yes,Moderate,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,2024-10-22T16:50:17.628,2024-10-22T17:00:03.670
1893798342.0,0.965220603400522,Yes,Almost certain,Question25a,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Foreign policy,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Never,1.0,10.0,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,No,75.0,Three of these statements,not asked,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Both equally,Strongly favor,Somewhat oppose,not asked,1952.0,Female,White,No,Post-grad,Married,Retired,Own,"$150,000 - $199,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Maryland,20901.0,Yes,Moderate,Most of the time,Roman Catholic,Seldom,No,Somewhat important,A few times a week,2024-10-22T16:50:28.837,2024-10-22T17:07:02.837
1893564714.0,1.4106274729226,Yes,Almost certain,Question25a,Question29 first,Donald Trump (Republican),Larry Hogan (Republican),No,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,The economy/inflation,__NA__,Somewhat enthusiastic,"Abortion should be legal within rare cases, i.e., rape, incest, life of the mother",Fair,Worse off than a year ago,Never,don't know,10.0,selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,No,50.0,Three of these statements,not asked,selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,selected,not selected,not selected,Their pay is about right,Israelis,Strongly oppose,Strongly favor,not asked,1947.0,Male,White,No,Post-grad,Married,Retired,Own,Prefer not to say,No,Republican,Strong Republican,Donald Trump,Donald Trump,Maryland,21030.0,Yes,Moderate,Most of the time,Roman Catholic,Once a week,No,Very important,Several times a day,2024-10-22T16:58:40.263,2024-10-22T17:08:58.309
1891220698.0,1.14917909737419,Yes,Almost certain,Question25b,Question30 first,Chase Oliver (Libertarian),Larry Hogan (Republican),No,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,The economy/inflation,__NA__,Somewhat enthusiastic,Abortion should be legal with accessibility restrictions,Fair,Worse off than a year ago,Occasionally,5.0,20.0,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,No,65.0,not asked,Four of these statements,not selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,selected,not selected,not selected,Their pay is about right,Israelis,Strongly favor,Somewhat favor,not asked,1982.0,Male,White,No,Some college,Domestic / civil partnership,Full-time,Own,Prefer not to say,No,Independent,Lean Republican,Gary Johnson,Jo Jorgensen,Maryland,21234.0,Yes,Conservative,Most of the time,Something else,Seldom,No,Not too important,Several times a day,2024-10-22T17:07:06.821,2024-10-22T17:15:17.141
1893816694.0,0.320869508025102,Yes,Almost certain,Question25a,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Undecided,Very favorable,Very unfavorable,Very favorable,No opinion,Very favorable,Never heard,No opinion,Somewhat favorable,No opinion,Very favorable,Crime,__NA__,Very enthusiastic,Not sure,Poor,Worse off than a year ago,Frequently,11.0,8.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,98.0,Two of these statements,not asked,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Not sure/No Opinion,Not sure,Not sure,not asked,1959.0,Female,Black,No,2-year,Separated,Retired,Rent,"$10,000 - $19,999",No,Democrat,Strong Democrat,Did not vote for President,Did not vote for President,Maryland,20850.0,Yes,Very conservative,Some of the time,Protestant,Once a week,No,Very important,Once a day,2024-10-22T17:15:00.769,2024-10-22T17:20:39.345
1893806490.0,0.506858540886556,Yes,Almost certain,Question25a,Question29 first,Donald Trump (Republican),Larry Hogan (Republican),No,Very favorable,Somewhat favorable,Very unfavorable,Very favorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable,No opinion,No opinion,The economy/inflation,__NA__,Not at all enthusiastic,"Abortion should be legal within rare cases, i.e., rape, incest, life of the mother",Good,About the same as a year ago,Never,10.0,4.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,50.0,Three of these statements,not asked,not selected,not selected,not selected,selected,selected,selected,selected,not selected,selected,selected,not selected,not selected,Their pay is about right,Israelis,Somewhat favor,Strongly favor,not asked,1931.0,Female,White,No,Some college,Widowed,Retired,Other,Prefer not to say,Yes,Republican,Strong Republican,Donald Trump,Donald Trump,Maryland,21158.0,Yes,Conservative,Most of the time,Protestant,Once or twice a month,Yes,Very important,Several times a day,2024-10-22T17:51:18.417,2024-10-22T18:02:19.565
1893524796.0,0.367444892582513,Yes,Almost certain,Question25b,Question30 first,Chase Oliver (Libertarian),Larry Hogan (Republican),Yes,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,No opinion,Somewhat favorable,Abortion,__NA__,Very enthusiastic,Abortion should be legal and generally available,Fair,About the same as a year ago,Rarely,4.0,1.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,25.0,not asked,Three of these statements,selected,not selected,not selected,selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,Their pay is about right,Not sure/No Opinion,Somewhat favor,Somewhat oppose,not asked,1962.0,Male,White,No,High school graduate,Never married,Full-time,Rent,"$40,000 - $49,999",No,Democrat,Not very strong Democrat,Donald Trump,Joe Biden,Maryland,21903.0,Yes,Liberal,Only now and then,Agnostic,Never,No,Not at all important,Never,2024-10-22T17:55:35.585,2024-10-22T18:06:07.196
1893222810.0,0.965220603400522,Yes,Almost certain,Question25a,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Very favorable,Somewhat unfavorable,Very favorable,Somewhat unfavorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Healthcare,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Never,10.0,10.0,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,No,80.0,Three of these statements,not asked,selected,selected,not selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Strongly favor,Neither favor nor oppose,not asked,1956.0,Female,White,No,Post-grad,Married,Part-time,Own,"$120,000 - $149,999",No,Independent,Lean Democrat,Hillary Clinton,Joe Biden,Maryland,21093.0,Yes,Moderate,Most of the time,Protestant,Once or twice a month,No,Somewhat important,Several times a day,2024-10-22T18:30:44.232,2024-10-22T18:39:39.934
1893927992.0,0.376009975808354,Yes,Almost certain,Question25b,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Very favorable,Somewhat favorable,Somewhat favorable,Never heard,Somewhat favorable,Somewhat favorable,No opinion,Somewhat favorable,Climate,__NA__,Very enthusiastic,Abortion should be legal and generally available,Fair,Better off than a year ago,Rarely,0.0,1.0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,90.0,not asked,Three of these statements,selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Israelis,Somewhat favor,Somewhat oppose,not asked,1995.0,Male,White,Yes,Post-grad,Married,Student,Rent,"$40,000 - $49,999",No,Democrat,Strong Democrat,Did not vote for President,Joe Biden,Maryland,20815.0,Yes,Moderate,Most of the time,Roman Catholic,Seldom,No,Not at all important,Seldom,2024-10-22T18:57:23.845,2024-10-22T19:02:49.770
