caseid,MDregvote,likelyvoter,Question25_treat,Question29_30_order,Question1,Question2,Question3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,Question14,Question14_other,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22_1,Question22_2,Question22_3,Question22_4,Question22_5,Question22_6,Question22_7,Question22_8,Question22_9,Question22_99,Question23,Question24,Question25a,Question25b,Question26_1,Question26_2,Question26_3,Question26_4,Question26_5,Question26_6,Question26_7,Question26_8,Question26_9,Question26_10,Question26_19,Question26_99,Question27,Question28,Question29,Question30,birthyr,gender,race,hispanic,educ,marstat,employ,ownhome,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputzip,inputstate,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1893762608,Yes,Almost certain,Question25b,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,No opinion,Somewhat unfavorable,Somewhat favorable,The economy/inflation,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Rarely,18,30,selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,No,80,not asked,Three of these statements,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Palestinians,Strongly favor,Somewhat oppose,2002,Female,Asian,No,4-year,Never married,Unemployed,Own,"$100,000 - $119,999",No,Democrat,Strong Democrat,Did not vote for President,Joe Biden,20742,Maryland,Yes,Liberal,Most of the time,Atheist,Seldom,No,Not at all important,Never,2024-10-22T16:30:05.992,2024-10-22T16:34:50.627
1893772958,Yes,Almost certain,Question25a,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Very favorable,Somewhat favorable,Very favorable,Somewhat favorable,No opinion,Somewhat favorable,Never heard,Never heard,The economy/inflation,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Never,5,15,not selected,not selected,selected,selected,selected,not selected,selected,not selected,not selected,not selected,No,50,Three of these statements,not asked,not selected,not selected,not selected,not selected,selected,selected,not selected,not selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Strongly favor,Strongly favor,1956,Male,Black,No,Some college,Divorced,Full-time,Rent,"$200,000 - $249,999",Yes,Independent,Lean Democrat,Hillary Clinton,Joe Biden,21216,Maryland,Yes,Moderate,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2024-10-22T16:33:47.276,2024-10-22T16:39:42.373
1893784570,Yes,Almost certain,Question25b,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Very favorable,Very unfavorable,Very favorable,Never heard,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,LGBTQ+ Rights,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Occasionally,0,0,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,99,not asked,Three of these statements,selected,selected,selected,selected,selected,not selected,selected,not selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Palestinians,Strongly favor,Strongly oppose,1996,Female,White,No,Some college,Domestic / civil partnership,Student,Rent,"$20,000 - $29,999",No,Democrat,Strong Democrat,Hillary Clinton,Did not vote for President,21502,Maryland,Yes,Very liberal,Some of the time,Agnostic,Never,No,Not at all important,Never,2024-10-22T16:36:59.509,2024-10-22T16:40:25.275
1893286588,Yes,Almost certain,Question25a,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Very favorable,Somewhat favorable,Very favorable,Never heard,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,US Supreme court appointments,__NA__,Very enthusiastic,Abortion should be legal and generally available,Excellent,About the same as a year ago,Never,don't know,don't know,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,100,Three of these statements,not asked,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Strongly favor,Somewhat oppose,1948,Female,Black,No,4-year,Married,Retired,Own,"$200,000 - $249,999",No,Independent,Lean Democrat,Did not vote for President,Joe Biden,20744,Maryland,Yes,Moderate,Most of the time,Protestant,Once a week,No,Somewhat important,A few times a week,2024-10-22T16:39:39.680,2024-10-22T16:53:26.253
1893798296,Yes,Almost certain,Question25b,Question29 first,Kamala Harris (Democrat),Larry Hogan (Republican),Yes,Very favorable,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Never heard,Somewhat unfavorable,Very favorable,No opinion,Somewhat favorable,Other,Protecting democracy,Very enthusiastic,Abortion should be legal and generally available,Good,Better off than a year ago,Never,2,2,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,No,99,not asked,Four of these statements,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,"They should be paid more, but less than the minimum wage ($15/hr)",Both equally,Strongly favor,Not sure,1967,Female,White,No,4-year,Married,Full-time,Own,"$150,000 - $199,999",Yes,Independent,Independent,Did not vote for President,Joe Biden,21013,Maryland,Yes,Moderate,Most of the time,Protestant,Once a week,Yes,Very important,Several times a day,2024-10-22T16:50:17.628,2024-10-22T17:00:03.670
1893798342,Yes,Almost certain,Question25a,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Foreign policy,__NA__,Very enthusiastic,Abortion should be legal and generally available,Good,About the same as a year ago,Never,1,10,selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,No,75,Three of these statements,not asked,selected,selected,selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Both equally,Strongly favor,Somewhat oppose,1952,Female,White,No,Post-grad,Married,Retired,Own,"$150,000 - $199,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,20901,Maryland,Yes,Moderate,Most of the time,Roman Catholic,Seldom,No,Somewhat important,A few times a week,2024-10-22T16:50:28.837,2024-10-22T17:07:02.837
1893564714,Yes,Almost certain,Question25a,Question29 first,Donald Trump (Republican),Larry Hogan (Republican),No,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,The economy/inflation,__NA__,Somewhat enthusiastic,"Abortion should be legal within rare cases, i.e., rape, incest, life of the mother",Fair,Worse off than a year ago,Never,don't know,10,selected,not selected,selected,selected,not selected,selected,selected,not selected,not selected,not selected,No,50,Three of these statements,not asked,selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,selected,not selected,not selected,Their pay is about right,Israelis,Strongly oppose,Strongly favor,1947,Male,White,No,Post-grad,Married,Retired,Own,Prefer not to say,No,Republican,Strong Republican,Donald Trump,Donald Trump,21030,Maryland,Yes,Moderate,Most of the time,Roman Catholic,Once a week,No,Very important,Several times a day,2024-10-22T16:58:40.263,2024-10-22T17:08:58.309
1891220698,Yes,Almost certain,Question25b,Question30 first,Chase Oliver (Libertarian),Larry Hogan (Republican),No,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,The economy/inflation,__NA__,Somewhat enthusiastic,Abortion should be legal with accessibility restrictions,Fair,Worse off than a year ago,Occasionally,5,20,selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,No,65,not asked,Four of these statements,not selected,not selected,not selected,selected,selected,selected,not selected,selected,selected,selected,not selected,not selected,Their pay is about right,Israelis,Strongly favor,Somewhat favor,1982,Male,White,No,Some college,Domestic / civil partnership,Full-time,Own,Prefer not to say,No,Independent,Lean Republican,Gary Johnson,Jo Jorgensen,21234,Maryland,Yes,Conservative,Most of the time,Something else,Seldom,No,Not too important,Several times a day,2024-10-22T17:07:06.821,2024-10-22T17:15:17.141
1893816694,Yes,Almost certain,Question25a,Question29 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Undecided,Very favorable,Very unfavorable,Very favorable,No opinion,Very favorable,Never heard,No opinion,Somewhat favorable,No opinion,Very favorable,Crime,__NA__,Very enthusiastic,Not sure,Poor,Worse off than a year ago,Frequently,11,8,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,98,Two of these statements,not asked,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,They should be paid the minimum wage or more ($15/hr),Not sure/No Opinion,Not sure,Not sure,1959,Female,Black,No,2-year,Separated,Retired,Rent,"$10,000 - $19,999",No,Democrat,Strong Democrat,Did not vote for President,Did not vote for President,20850,Maryland,Yes,Very conservative,Some of the time,Protestant,Once a week,No,Very important,Once a day,2024-10-22T17:15:00.769,2024-10-22T17:20:39.345
1893815792,Yes,Almost certain,Question25b,Question30 first,Kamala Harris (Democrat),Angela Alsobrooks (Democrat),Yes,Very favorable,Very unfavorable,Very favorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Other,Democracy,Very enthusiastic,Abortion should be legal and generally available,Excellent,Better off than a year ago,Never,10,10,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,No,81,not asked,Three of these statements,selected,not selected,not selected,selected,selected,selected,selected,selected,selected,selected,not selected,not selected,Not sure,Palestinians,Strongly favor,Somewhat oppose,1959,Female,White,No,4-year,Married,Full-time,Own,"$150,000 - $199,999",No,Independent,Lean Democrat,Hillary Clinton,Joe Biden,20850,Maryland,Yes,Moderate,Most of the time,Agnostic,Never,No,Not at all important,Seldom,2024-10-22T17:10:14.673,2024-10-22T17:21:50.611
