variable,description,question
MDregvote,MD Vote registration ,
likelyvoter,Vote likely ,
Question25_treat,Question 25 treatment ,
Question29_30_order,Question 29/30 order ,
Question1,ballot_president ,"If the 2024 Presidential election were held today, who would you vote for?"
Question2,ballot_senate ,"If the United States Senate election for Maryland were held today, who would you vote for?"
Question3,ballot_amendment ,"The 2024 election in Maryland has one ballot measure about adding an amendment to ensure the right to reproductive freedom in the state's constitution. If the election was held today, would you vote yes or no this ballot measure?"
q4,harrisfav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Kamala Harris"
q5,trumpfav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Donald Trump"
q6,alsobrooksfav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Angela Alsobrooks"
q7,hoganfav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Larry Hogan"
q8,moorefav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Wes Moore"
q9,scottfav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Brandon Scott"
q10,unionfav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Labor Unions"
q11,lawenforcefav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Your Local Law Enforcement"
q12,mcefav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Maryland Correctional Enterprises"
q13,gendercarefav ,"Below are some public figures, groups, and policies. For each, indicate how favorable you are towards them. Gender-affirming care for transgender individuals"
Question14,top_issue ,Which of these is the most important issue for the president to address? Select one.
Question15,enthusiasm ,How enthusiastic do you feel about voting in the upcoming 2024 election?
Question16,abortion_stance ,Which one of the following statements most closely aligns with your stance on abortion?
Question17,financial_situation ,How would you rate your financial situation today?
Question18,financials_year_ago ,Would you say that you are better off or worse off financially than you were a year ago?
Question19,trouble_expenses ,"How often in the past 12 months have you had trouble affording living expenses (gas, groceries, rent, and other necessities)?"
Question20,Break_in_estimate ,"Using the scale provided, please indicate the percent chance you think it is that someone will attempt to illegally break into or enter your home and steal something during the next 12 months?"
